,mine_a,mine_b,official
2014-01-03,,,0.0015077263125963247
2014-01-06,,,0.004835098547748995
2014-01-07,,,-0.002420918507385794
2014-01-08,,,0.001507216794451649
2014-01-09,,,0.005338053602021664
2014-01-10,,,0.0023565058745402823
2014-01-13,,,-0.0004882883938570615
2014-01-14,,,-0.0033323385309369513
2014-01-15,,,-0.0032423371392489297
2014-01-16,,,-0.0024275551279482332
2014-01-17,,,0.0014570579678074846
2014-01-20,,,-0.0011258438692232087
2014-01-21,,,0.0005377190171207413
2014-01-22,,,0.002367600911486134
2014-01-23,,,0.0027341207729609796
2014-01-24,,,0.00045069705447331465
2014-01-27,,,-0.004145222058775877
2014-01-28,,,0.002665130450359321
2014-01-29,,,-0.0006479883702152911
2014-01-30,,,0.00211475394556937
2014-02-07,,,-0.001250220759459575
2014-02-10,,,0.002001754847418491
2014-02-11,,,-0.0012003536707954066
2014-02-12,,,-0.0017825410222036542
2014-02-13,,,0.0007367203961290425
2014-02-14,,,0.0013183611376066384
2014-02-17,,,-0.001431847226107008
2014-02-18,,,-0.0009076526983415878
2014-02-19,,,-0.0014059064507062624
2014-02-20,,,-6.851241364025373e-05
2014-02-21,,,0.0033219028458442157
2014-02-24,,,0.0009486377107370547
2014-02-25,,,0.0015770291531398417
2014-02-26,,,-0.006268385692187017
2014-02-27,,,-0.00860154424901749
2014-02-28,,,0.0018292329022524534
2014-03-03,,,-0.0013463580788908303
2014-03-04,,,0.0016558869418852318
2014-03-05,,,-0.0012537766327238575
2014-03-06,,,-0.001393925756510317
2014-03-07,,,0.0004990166693997766
2014-03-10,,,-0.0036633088948951897
2014-03-11,,,0.0005442824007647618
2014-03-12,,,0.0032625740270350034
2014-03-13,,,0.0017926911703605164
2014-03-14,,,0.0028359218005260534
2014-03-17,,,4.0815566940910486e-05
2014-03-18,,,0.0009289398692282624
2014-03-19,,,0.00022834659255166478
2014-03-20,,,-0.0005644238996328488
2014-03-21,,,-0.001497019615880113
2014-03-24,,,-0.0015250394176244964
2014-03-25,,,-0.0005401911734905784
2014-03-26,,,0.0014988268273588012
2014-03-27,,,-0.0008804306345373547
2014-03-28,,,-0.001873301078840317
2014-03-31,,,-0.0009022199069269599
2014-04-01,,,0.00374680403632377
2014-04-02,,,-0.0015335035986431267
2014-04-03,,,0.00040684656147149667
2014-04-04,,,2.3160911752917457e-05
2014-04-08,,,-0.00260338625978096
2014-04-09,,,0.0007121189561438701
2014-04-10,,,0.0016786695415631492
2014-04-11,,,0.00021508904086964264
2014-04-14,,,-0.0025460081075241447
2014-04-15,,,0.001651429334237342
2014-04-16,,,-0.0031977231340772905
2014-04-17,,,0.0018123952966160317
2014-04-18,,,0.0014199656667277516
2014-04-21,,,-0.0009658777165575394
2014-04-22,,,-0.0008360567294202204
2014-04-23,,,-0.001081855646474006
2014-04-24,,,-0.00014006900997753924
2014-04-25,,,0.003933945958463858
2014-04-28,,,-0.00363941481457708
2014-04-29,,,0.00014839919637421595
2014-04-30,,,-0.002046431209334676
2014-05-05,,,-0.0010352016453378798
2014-05-06,,,0.0013541071190421583
2014-05-07,,,4.946808878658615e-05
2014-05-08,,,0.001111125018768755
2014-05-09,,,-0.0008901888115069312
2014-05-12,,,-0.0017434399432494363
2014-05-13,,,-1.4014396491512926e-05
2014-05-14,,,0.00017302429537591202
2014-05-15,,,-0.0019989787293122063
2014-05-16,,,0.00039560360523482885
2014-05-19,,,0.000858579432802431
2014-05-20,,,0.0020757232370394174
2014-05-21,,,-0.0010738687414744152
2014-05-22,,,0.0015875881991251894
2014-05-23,,,0.0018945784423711753
2014-05-26,,,0.0002068481131873856
2014-05-27,,,-0.002064742217386173
2014-05-28,,,0.001779476903568833
2014-05-29,,,0.0026274576462667065
2014-05-30,,,0.0023939897544558164
2014-06-03,,,-0.003529127884982941
2014-06-04,,,0.0007151690358507823
2014-06-05,,,0.001889588605636039
2014-06-06,,,-0.0004015129322425537
2014-06-09,,,-0.002260092832938043
2014-06-10,,,0.0026118450161642937
2014-06-11,,,0.0010127424187453826
2014-06-12,,,0.004223550889142946
2014-06-13,,,-0.001282442807261086
2014-06-16,,,-0.00016819864167016974
2014-06-17,,,-0.001165086397610482
2014-06-18,,,0.001728902392339915
2014-06-19,,,-0.0007705978909735567
2014-06-20,,,0.0024575537735738173
2014-06-23,,,0.002124025392721496
2014-06-24,,,-0.00025616763836011636
2014-06-25,,,0.0016388829184252884
2014-06-26,,,0.0005864453172059747
2014-06-27,,,-0.0023648452602684777
2014-06-30,,,-0.0015895957838352182
2014-07-01,,,-0.0002012817107559517
2014-07-02,,,-0.00018032966443737308
2014-07-03,,,-0.0013622852959527254
2014-07-04,,,0.00015508450136669794
2014-07-07,,,0.002448782433847274
2014-07-08,,,-6.446265356041536e-05
2014-07-09,,,-0.0006901808047206082
2014-07-10,,,0.0003883955791128546
2014-07-11,,,0.0002961827406953166
2014-07-14,,,-0.00032881218370417464
2014-07-15,,,-0.0043489827506231205
2014-07-16,,,-0.001514126205310995
2014-07-17,,,0.0014467163784811499
2014-07-18,,,-0.0007357268262186967
2014-07-21,,,-0.0009549399294387362
2014-07-22,,,0.00013999591454094684
2014-07-23,,,0.0012889233834645353
2014-07-24,,,-0.003585435328907094
2014-07-25,,,0.00023744190934982257
2014-07-28,,,0.00034938654791161206
2014-07-29,,,0.002473583058374418
2014-07-30,,,-8.771244634853126e-05
2014-07-31,,,-0.00018602403262613088
2014-08-01,,,0.0015174104122573917
2014-08-04,,,-0.0003597742435674789
2014-08-05,,,-3.4355107644934435e-05
2014-08-06,,,-0.001870119782673374
2014-08-07,,,0.0021109336261516676
2014-08-08,,,0.0018717415324818187
2014-08-11,,,-0.0005409904669633203
2014-08-12,,,-0.001000944982628038
2014-08-13,,,0.0023211882403877393
2014-08-14,,,0.0003057140957953841
2014-08-15,,,0.0020481952717872343
2014-08-18,,,-0.0015641817741962605
2014-08-19,,,0.0008739292914703434
2014-08-20,,,-0.0028277499235822567
2014-08-21,,,0.0025444959761485864
2014-08-22,,,0.0015822112422823054
2014-08-25,,,-0.0023071924188741155
2014-08-26,,,0.00039467165351048106
2014-08-27,,,-0.0020492349475711436
2014-08-28,,,0.002209197467350821
2014-08-29,,,-0.0013462943308748532
2014-09-01,,,-0.0029018406562550947
2014-09-02,,,8.39272424177917e-05
2014-09-03,,,0.0035933758589337117
2014-09-04,,,0.0006132049085390001
2014-09-05,,,0.0010120560187911742
2014-09-09,,,0.0008657369256248604
2014-09-10,,,-0.0022834743713386896
2014-09-11,,,0.0009417668676710012
2014-09-12,,,-0.0028791194685737764
2014-09-15,,,-0.001897008473354278
2014-09-16,,,0.004068495750298551
2014-09-17,,,-0.00024666857571009615
2014-09-18,,,0.0012872968554835662
2014-09-19,,,0.0003330782373611729
2014-09-22,,,0.002334038258241189
2014-09-23,,,0.000617790395338158
2014-09-24,,,0.0015208714548700097
2014-09-25,,,0.004890453230581127
2014-09-26,,,-0.004656057890963572
2014-09-29,,,-0.002137232035391179
2014-09-30,,,0.00236152981228388
2014-10-08,,,0.006452444651697586
2014-10-09,,,0.0007163001955883264
2014-10-10,,,0.0042275899742239
2014-10-13,,,-0.0009084107265489028
2014-10-14,,,-0.0011634114835122888
2014-10-15,,,0.0010748673402651843
